task_id	name	status	exit	module	container	cpus	time	disk	memory	%cpu	%mem	rss	vmem	peak_rss	peak_vmem
7	fastqc (2)	COMPLETED	0	-	community.wave.seqera.io/library/trim-galore@sha256:4f00e7b2a09f3c8d8a9ce955120e177152fb1e56f63a2a6e186088b1250d9907	1	-	-	-	107.6%	1.7%	536.1 MB	3.4 GB	536.1 MB	3.4 GB
9	trim_galore (2)	COMPLETED	0	-	community.wave.seqera.io/library/trim-galore@sha256:4f00e7b2a09f3c8d8a9ce955120e177152fb1e56f63a2a6e186088b1250d9907	1	-	-	-	147.2%	1.4%	458 MB	3.4 GB	458 MB	3.4 GB
2	salmon_index	COMPLETED	0	-	community.wave.seqera.io/library/salmon@sha256:b4519ea6d76868516e8c545fd709bf900638cb4b9130206730e09038b2e9e274	1	-	-	-	224.5%	0.8%	248.2 MB	726 MB	248.2 MB	726 MB
1	bowtie2_index	COMPLETED	0	-	community.wave.seqera.io/library/bowtie2@sha256:7e95aab41e539b4696750e91020b20b09e45778688ebac01b3e3d03388aa6704	1	-	-	-	99.1%	0.4%	132.1 MB	249.1 MB	173.8 MB	249.2 MB
13	multiqc	COMPLETED	0	-	community.wave.seqera.io/library/pip_multiqc@sha256:0ebb1d9605395a7df49ad0eb366b21f46afd96a5090376b0d8941cf5294a895a	1	-	-	-	118.3%	0.3%	110.7 MB	708.9 MB	110.7 MB	708.9 MB
16	salmon (3)	COMPLETED	0	-	community.wave.seqera.io/library/salmon@sha256:b4519ea6d76868516e8c545fd709bf900638cb4b9130206730e09038b2e9e274	1	-	-	-	155.4%	2.2%	702 MB	1.3 GB	725.5 MB	1.3 GB
6	star_index	COMPLETED	0	-	community.wave.seqera.io/library/star@sha256:25a18a65561065970d2bee3cc481949b58711c31b48499dd4e86df18aa69e3a8	1	-	-	-	99.0%	6.1%	1.9 GB	3.4 GB	1.9 GB	3.4 GB
22	star (1)	COMPLETED	0	-	community.wave.seqera.io/library/star@sha256:25a18a65561065970d2bee3cc481949b58711c31b48499dd4e86df18aa69e3a8	1	-	-	-	97.8%	6.3%	2 GB	2 GB	2 GB	2 GB
26	picard_alignment_summary (1)	COMPLETED	0	-	community.wave.seqera.io/library/picard@sha256:e269216786463d44f9d83a0d6e877b34bca2c7b4d35211b4b369fe98e39ef1a5	1	-	-	-	135.8%	1.9%	621.9 MB	5.4 GB	623.9 MB	5.4 GB
5	kallisto_index	COMPLETED	0	-	quay.io/biocontainers/kallisto@sha256:f2dc85d6d55e1c3bfdc437a7738b1217d0f81ee9c1c62013b5dd3b867713d482	1	-	-	-	99.1%	2.1%	687.5 MB	766.6 MB	725.8 MB	846.6 MB
33	kallisto (4)	COMPLETED	0	-	quay.io/biocontainers/kallisto@sha256:f2dc85d6d55e1c3bfdc437a7738b1217d0f81ee9c1c62013b5dd3b867713d482	1	-	-	-	98.4%	1.4%	448.4 MB	527.7 MB	449 MB	591.7 MB
18	bowtie2 (1)	COMPLETED	0	-	community.wave.seqera.io/library/bowtie2@sha256:7e95aab41e539b4696750e91020b20b09e45778688ebac01b3e3d03388aa6704	1	-	-	-	195.6%	0.2%	83.4 MB	402.7 MB	83.4 MB	466.7 MB
34	samtools (1)	COMPLETED	0	-	community.wave.seqera.io/library/samtools@sha256:5e5188b3dacf0117c4d4db891f2b9f4873d93288b4cfb26c1fba43eb7d241a4c	1	-	-	-	110.7%	0.9%	282.8 MB	880 MB	302.1 MB	941.2 MB
35	stringtie (1)	COMPLETED	0	-	community.wave.seqera.io/library/stringtie@sha256:d3e1bd02a4dae3a2a7ca616e2f34892a01f0d9d41a0e80937f995aec93b9e5c8	1	-	-	-	114.7%	0.1%	23.5 MB	92.8 MB	32.7 MB	152.1 MB
