transcriptID,geneID
YAL069W_mRNA,YAL069W
YAL068W-A_mRNA,YAL068W-A
YAL068C_mRNA,YAL068C
YAL067W-A_mRNA,YAL067W-A
YAL067C_mRNA,YAL067C
YAL066W_mRNA,YAL066W
YAL065C_mRNA,YAL065C
YAL064W-B_mRNA,YAL064W-B
YAL064C-A_mRNA,YAL064C-A
YAL064W_mRNA,YAL064W
YAL063C-A_mRNA,YAL063C-A
YAL063C_mRNA,YAL063C
YAL062W_mRNA,YAL062W
YAL061W_mRNA,YAL061W
YAL060W_mRNA,YAL060W
YAL059C-A_mRNA,YAL059C-A
YAL059W_mRNA,YAL059W
YAL058W_mRNA,YAL058W
YAL056C-A_mRNA,YAL056C-A
YAL056W_mRNA,YAL056W
YAL055W_mRNA,YAL055W
YAL054C_mRNA,YAL054C
YAL053W_mRNA,YAL053W
YAL051W_mRNA,YAL051W
YAL049C_mRNA,YAL049C
YAL048C_mRNA,YAL048C
YAL047W-A_mRNA,YAL047W-A
YAL047C_mRNA,YAL047C
YAL046C_mRNA,YAL046C
YAL045C_mRNA,YAL045C
YAL044W-A_mRNA,YAL044W-A
YAL044C_mRNA,YAL044C
YAL043C_mRNA,YAL043C
YAL042C-A_mRNA,YAL042C-A
YAL042W_mRNA,YAL042W
YAL041W_mRNA,YAL041W
YAL040C_mRNA,YAL040C
YAL039C_mRNA,YAL039C
YAL038W_mRNA,YAL038W
YAL037C-B_mRNA,YAL037C-B
YAL037C-A_mRNA,YAL037C-A
YAL037W_mRNA,YAL037W
YAL036C_mRNA,YAL036C
YAL035W_mRNA,YAL035W
YAL034C-B_mRNA,YAL034C-B
YAL034W-A_mRNA,YAL034W-A
YAL034C_mRNA,YAL034C
YAL033W_mRNA,YAL033W
YAL032C_mRNA,YAL032C
YAL031W-A_mRNA,YAL031W-A
YAL031C_mRNA,YAL031C
YAL030W_mRNA,YAL030W
YAL029C_mRNA,YAL029C
YAL028W_mRNA,YAL028W
YAL027W_mRNA,YAL027W
YAL026C-A_mRNA,YAL026C-A
YAL026C_mRNA,YAL026C
YAL025C_mRNA,YAL025C
YAL024C_mRNA,YAL024C
YAL023C_mRNA,YAL023C
YAL022C_mRNA,YAL022C
YAL021C_mRNA,YAL021C
YAL020C_mRNA,YAL020C
YAL019W-A_mRNA,YAL019W-A
YAL019W_mRNA,YAL019W
YAL018C_mRNA,YAL018C
YAL017W_mRNA,YAL017W
YAL016C-B_mRNA,YAL016C-B
YAL016C-A_mRNA,YAL016C-A
YAL016W_mRNA,YAL016W
YAL015C_mRNA,YAL015C
YAL014C_mRNA,YAL014C
YAL013W_mRNA,YAL013W
YAL012W_mRNA,YAL012W
YAL011W_mRNA,YAL011W
YAL010C_mRNA,YAL010C
YAL009W_mRNA,YAL009W
YAL008W_mRNA,YAL008W
YAL007C_mRNA,YAL007C
YAL005C_mRNA,YAL005C
YAL004W_mRNA,YAL004W
YAL003W_mRNA,YAL003W
YAL002W_mRNA,YAL002W
YAL001C_mRNA,YAL001C
YAR002W_mRNA,YAR002W
YAR002C-A_mRNA,YAR002C-A
YAR003W_mRNA,YAR003W
YAR007C_mRNA,YAR007C
YAR008W_mRNA,YAR008W
YAR014C_mRNA,YAR014C
YAR015W_mRNA,YAR015W
YAR018C_mRNA,YAR018C
YAR019C_mRNA,YAR019C
YAR019W-A_mRNA,YAR019W-A
YAR020C_mRNA,YAR020C
YAR023C_mRNA,YAR023C
YAR027W_mRNA,YAR027W
YAR028W_mRNA,YAR028W
YAR029W_mRNA,YAR029W
YAR030C_mRNA,YAR030C
YAR031W_mRNA,YAR031W
YAR033W_mRNA,YAR033W
YAR035W_mRNA,YAR035W
YAR035C-A_mRNA,YAR035C-A
YAR042W_mRNA,YAR042W
YAR047C_mRNA,YAR047C
YAR050W_mRNA,YAR050W
YAR053W_mRNA,YAR053W
YAR060C_mRNA,YAR060C
YAR064W_mRNA,YAR064W
YAR066W_mRNA,YAR066W
YAR068W_mRNA,YAR068W
YAR069C_mRNA,YAR069C
YAR070C_mRNA,YAR070C
YAR071W_mRNA,YAR071W
YAR073W_mRNA,YAR073W
YAR075W_mRNA,YAR075W
YBL113C_mRNA,YBL113C
YBL113W-A_mRNA,YBL113W-A
YBL112C_mRNA,YBL112C
YBL111C_mRNA,YBL111C
YBL109W_mRNA,YBL109W
YBL108C-A_mRNA,YBL108C-A
YBL108W_mRNA,YBL108W
YBL107W-A_mRNA,YBL107W-A
YBL107C_mRNA,YBL107C
YBL106C_mRNA,YBL106C
YBL105C_mRNA,YBL105C
YBL104C_mRNA,YBL104C
YBL103C_mRNA,YBL103C
YBL102W_mRNA,YBL102W
YBL101C_mRNA,YBL101C
YBL100W-C_mRNA,YBL100W-C
YBL100C_mRNA,YBL100C
YBL099W_mRNA,YBL099W
YBL098W_mRNA,YBL098W
YBL097W_mRNA,YBL097W
YBL096C_mRNA,YBL096C
YBL095W_mRNA,YBL095W
YBL094C_mRNA,YBL094C
YBL093C_mRNA,YBL093C
YBL092W_mRNA,YBL092W
YBL091C-A_mRNA,YBL091C-A
YBL091C_mRNA,YBL091C
YBL090W_mRNA,YBL090W
YBL089W_mRNA,YBL089W
YBL088C_mRNA,YBL088C
YBL087C_mRNA,YBL087C
YBL086C_mRNA,YBL086C
YBL085W_mRNA,YBL085W
YBL084C_mRNA,YBL084C
YBL083C_mRNA,YBL083C
YBL082C_mRNA,YBL082C
YBL081W_mRNA,YBL081W
YBL080C_mRNA,YBL080C
YBL079W_mRNA,YBL079W
YBL078C_mRNA,YBL078C
YBL077W_mRNA,YBL077W
YBL076C_mRNA,YBL076C
YBL075C_mRNA,YBL075C
YBL074C_mRNA,YBL074C
YBL073W_mRNA,YBL073W
YBL072C_mRNA,YBL072C
YBL071C-B_mRNA,YBL071C-B
YBL071W-A_mRNA,YBL071W-A
YBL071C_mRNA,YBL071C
YBL070C_mRNA,YBL070C
YBL069W_mRNA,YBL069W
YBL068W-A_mRNA,YBL068W-A
YBL068W_mRNA,YBL068W
YBL067C_mRNA,YBL067C
YBL066C_mRNA,YBL066C
YBL065W_mRNA,YBL065W
YBL064C_mRNA,YBL064C
YBL063W_mRNA,YBL063W
YBL062W_mRNA,YBL062W
YBL061C_mRNA,YBL061C
YBL060W_mRNA,YBL060W
YBL059C-A_mRNA,YBL059C-A
YBL059W_mRNA,YBL059W
